benzene,23
2-methylpropane,20
propane,20
bis(2-hydroxyethyl) ether,18
toluene,16
2-methyl-2-butanol,16
3-methyl-1-butanol,15
2-methyl-1-butanol,15
2-pentanol,13
triethylene glycol,12
3-pentanol,11
"1,4-dimethylbenzene",11
"1,2-dimethylbenzene",11
3-methyl-2-butanol,10
glycerol,10
"1,2-propanediol",10
butane,10
tetrole,9
hexane,9
1-butanol,8
octane,8
ethylbenzene,7
2-methoxyethanol,7
"1,2-ethanediol",6
"1,3-dimethylbenzene",6
pentane,6
ethanol,6
2-propanol,6
1-propanol,6
cyclohexane,6
n-decane,5
methanol,5
tert-amyl methyl ether,4
tert-butyl ethyl ether,4
"butane, 2-ethoxy-2-methyl-",4
methyl tert-butyl ether,4
nonane,3
3-methylphenol,3
2-methylphenol,3
p-cymene,1
methylcyclopentane,1
naphthalene,1
methylcyclohexane,1
