ethanol,4565
1-butanol,2685
1-propanol,2428
2-propanol,2216
benzene,1924
"1,4-dimethylbenzene",1259
cyclohexane,1186
2-methyl-2-propanol,1168
octane,1147
1-heptanol,1067
n-decane,931
glycerol,860
methanol,853
toluene,806
1-hexanol,729
"1,2-dimethylbenzene",663
"1,3-dimethylbenzene",660
"1,2-propanediol",581
1-pentanol,549
bis(2-hydroxyethyl) ether,476
pentane,459
"1,2-ethanediol",433
tetrahydrofuran,406
2-methoxyethanol,395
2-butoxyethanol,374
ethylbenzene,367
2-phenylethanol,349
1-octanol,329
"1,1,1-trimethanolethane",324
1-propoxy-2-propanol,318
cyclopentanol,287
"1,3,5-trimethylbenzene",285
cyclohexanol,280
cis-decalin,278
"2-ethyl-2-(hydroxymethyl)-1,3-propanediol",270
"1,5-pentanediol",269
"1,6-hexanediol",255
methylcyclohexane,253
pentaerythritol,249
nonane,242
"1,2-dimethoxyethane",236
hexane,234
methoxybenzene,222
cycloheptanol,222
"1,8-octanediol",220
"1,3-butanediol",218
neopentyl alcohol,213
2-methyl-1-propanol,210
"2-methyl-1,3-propanediol",209
"2,2,4-trimethylpentane",205
butan-2-ol,202
heptane,198
"3,6-dioxaoctane",196
2-(2-methoxyethoxy)ethanol,196
ribitol,193
"2,5,8-trioxanonane",188
cyclohexylmethanol,176
2-cyclohexylethanol,175
diethoxymethane,173
propane,157
"2,2-dimethyl-1,3-propanediol",156
cyclooctanol,156
"1,4-butanediol",156
2-methyl-2-butanol,150
"3-methylpentane-1,5-diol",138
"1,3-propanediol",120
"2,5-hexanediol",114
4-methylphenol,109
tetralin,100
"1,2-hexanediol",96
benzyl alcohol,90
tetrahydropyran,84
"1,2,4-trimethylbenzene",84
"1,5-hexanediol",75
dibutyl ether,73
"1,3-benzenediol",72
butylcyclohexane,66
ethylcyclohexane,66
"1,2,4-trimethylcyclohexane",66
2-ethyl-1-hexanol,58
"ethanol, 2-ethoxy-",47
2-(2-methylpropoxy)ethanol,45
"1,2-benzenediol",40
xyliton,40
triethylene glycol,39
cyclopentane,39
methane,36
3-methylphenol,32
2-methylphenol,32
isopropyl ether,32
"furfuryl alcohol, tetrahydro-",30
tetrole,27
ethane,27
2-hydroxymethylfuran,24
"3,6-dioxa-1-octanol",24
diethyl ether,22
water,18
2-isopropoxyethanol,18
"2,3-butanediol",14
"1,2-butanediol",14
"1,3-dioxolane",12
ethoxybenzene,12
"1,4-dioxane",10
naphthalene,10
phenol,10
isooctane,9
glycidol,1
