water,22045
heptane,5740
methyl tert-butyl ether,5191
decane,3337
octane,3310
cyclohexane,2471
toluene,2416
dibutyl ether,2151
"2,2,4-trimethylpentane",2149
tert-butyl ethyl ether,1994
nonane,1807
methylcyclohexane,1721
1-nonanol,1444
2-butoxyethanol,1314
butane,900
amylcarbinol,869
1-octanol,858
isooctane,842
hexane,819
cyclopentane,807
"1,4-dioxane",794
tetrahydropyran,789
benzene,700
"1,2-ethanediol",656
n-propyl alcohol,615
"1,2-butanediol",593
2-ethoxyethanol,588
methyl alcohol,546
2-methoxyethanol,528
"1,3-propanediol",519
tert-butanol,494
2-propanol,464
bis(2-hydroxyethyl) ether,461
"1,4-butanediol",459
"1,2-dimethoxyethane",446
tetrahydrofuran,436
2-methylpropane,430
2-pentanol,429
"1,3-dioxolane",428
cyclooctane,422
methoxybenzene,421
2-methyl-1-propanol,388
1-heptanol,381
isopropyl ether,354
exo-tetrahydrodicyclopentadiene,352
1-butoxy-2-propanol,320
"ethanol, 2-propoxy-",302
trans-decalin,293
3-methyl-1-butanol,287
3-methylphenol,282
.alpha.-toluenol,258
2-(2-methoxyethoxy)ethanol,248
ethylbenzene,244
"2,5,8-trioxanonane",243
2-methyl-1-butanol,229
"1,3,5-trimethylbenzene",215
2-methyltetrahydrofuran,205
1-butanol,203
2-hexanol,177
"ether, methyl tert-pentyl",176
2-methyl-2-butanol,148
1-pentanol,142
"3,6-dioxa-1-octanol",137
paraldehyde,132
"1,3-dimethylbenzene",129
2-heptanol,129
2-octanol,123
methoxymethane,119
2-ethyl-1-hexanol,116
"3,6-dioxa-1,8-octanediol",116
"1,2,4-trimethylbenzene",114
"1,2,3,4-tetrahydronaphthalene",104
isobutylbenzene,100
"1,4-dimethylbenzene",96
"1,2-propanediol",88
"1,1-diethoxyethane",76
"1,3-benzenediol",70
cyclohexyl alcohol,68
ethoxybenzene,59
"ether, dipropyl",59
3-phenyl-1-propanol,58
4-methylphenol,55
ethyl tert-pentyl ether,54
o-xylene,52
pentane,44
"butane, 2,2-dimethoxy-",37
ethane,37
dipropylene glycol monomethyl ether,36
ethanol,35
tetrole,27
methane,24
phenol,23
butylbenzene,22
propylbenzene,22
"propanol, oxybis-",21
2-methylpentane,19
1-methoxy-2-propanol,19
"2,5-dimethylfuran",18
2-phenylethanol,17
"3,6-dioxaoctane",17
"2,3-butanediol",10
cycloheptane,7
propane,4
naphthalene,1
