dibutyl ether,538
water,376
cyclohexane,193
tetrahydropyran,186
methyl tert-butyl ether,140
heptane,122
"2,2,4-trimethylpentane",114
2-ethoxyethanol,104
octane,91
toluene,90
methyl alcohol,87
benzene,86
n-propyl alcohol,84
2-pentanol,84
2-propanol,76
methoxymethane,76
hexane,74
cyclohexyl alcohol,68
cyclopentane,63
decane,60
"ether, dipropyl",59
nonane,59
2-methyl-2-butanol,50
isopropyl ether,49
.alpha.-toluenol,48
tetrahydrofuran,46
2-methyltetrahydrofuran,44
isooctane,42
"1,4-dioxane",38
2-butoxyethanol,38
methylcyclohexane,38
ethoxybenzene,34
methoxybenzene,34
3-phenyl-1-propanol,34
ethyl tert-pentyl ether,27
2-methylpentane,19
amylcarbinol,19
1-methoxy-2-propanol,19
1-nonanol,18
"3,6-dioxa-1-octanol",17
"3,6-dioxaoctane",17
"1,2-dimethoxyethane",17
2-methyl-1-propanol,14
"1,3-dimethylbenzene",11
ethanol,10
1-butanol,10
1-heptanol,10
1-pentanol,10
