ethanol__heptane,1664,,,,,,,,,,,,,
2-propanol__water,1278,,,,,,,,,,,,,
methanol__water,1117,,,,Water,Heptane,Octane,Decane,Methanol,Ethanol,1-propanol,1-butanol,Benzene,Toluene
benzene__octane,1080,,,Water,,0,0,0,1117,1050,713,0,0,0
ethanol__water,1050,,,Heptane,0,,0,750,0,1664,378,261,0,151
cyclohexane__nonane,1031,,,Octane,0,0,,750,0,720,77,112,1080,111
1-propanol__toluene,986,,,Decane,0,750,750,,0,720,17,126,0,10
ethanol__methylcyclohexane,851,,,Methanol,1117,0,0,0,,469,105,105,248,24
"1,4-butanediol__water",849,,,Ethanol,1050,1664,720,720,469,,74,0,0,805
ethanol__toluene,805,,,1-propanol,713,378,77,17,105,74,,0,0,986
1-heptanol__heptane,756,,,1-butanol,0,261,112,126,105,0,0,,189,214
n-decane__heptane,750,,,Benzene ,0,0,1080,0,248,0,0,189,,25
n-hexane__decane,750,,,Toluene,0,151,111,10,24,805,986,214,25,
n-octane__n-decane,750,,,,,,,,,,,,,
n-hexane__octane,750,,,,,,,,,,,,,
ethyl alcohol__n-decane,720,,,,,,,,,,,,,
1-propanol__water,713,,,,,,,,,,,,,
2-methyl-2-propanol__water,650,,,,,,,,,,,,,
n-butyl alcohol__2-methylheptane,648,,,,,,,,,,,,,
"1,3-propanediol__water",646,,,,,,,,,,,,,
"3-methylpentane-1,5-diol__water",592,,,,,,,,,,,,,
1-butanol__cyclohexane,590,,,,,,,,,,,,,
"1,2-propanediol__water",558,,,,,,,,,,,,,
"2-methyl-2-propyl-1,3-propanediol__water",554,,,,,,,,,,,,,
tert-pentyl alcohol__heptane,552,,,,,,,,,,,,,
benzene__cyclohexane,534,,,,,,,,,,,,,
glycerol__water,514,,,,,,,,,,,,,
"2,2,4-trimethylpentane__methyl tert-butyl ether",500,,,,,,,,,,,,,
toluene__methyl tert-butyl ether,493,,,,,,,,,,,,,
ethanol__methanol,469,,,,,,,,,,,,,
1-propoxy-2-propanol__water,463,,,,,,,,,,,,,
propane__butane,445,,,,,,,,,,,,,
2-methylpropane__butane,435,,,,,,,,,,,,,
propane__2-methylpropane,426,,,,,,,,,,,,,
"1,1,1-trimethanolethane__water",405,,,,,,,,,,,,,
benzene__methyl tert-butyl ether,393,,,,,,,,,,,,,
"2,2-bis(hydroxymethyl)-1,3-propanediol__water",391,,,,,,,,,,,,,
ethylbenzene__methyl tert-butyl ether,390,,,,,,,,,,,,,
"1,2-dimethylbenzene__tert-butyl ethyl ether",390,,,,,,,,,,,,,
"1,3-dimethylbenzene__tert-butyl ethyl ether",390,,,,,,,,,,,,,
"1,3-dimethylbenzene__methyl tert-butyl ether",390,,,,,,,,,,,,,
"1,2-dimethylbenzene__methyl tert-butyl ether",390,,,,,,,,,,,,,
"1,4-dimethylbenzene__methyl tert-butyl ether",390,,,,,,,,,,,,,
"1,4-dimethylbenzene__tert-butyl ethyl ether",390,,,,,,,,,,,,,
1-propanol__heptane,378,,,,,,,,,,,,,
tetrahydrofuran__water,368,,,,,,,,,,,,,
"1,2-dihydroxyethane__water",361,,,,,,,,,,,,,
tert-butanol__water,360,,,,,,,,,,,,,
hexane__1-hexanol,352,,,,,,,,,,,,,
"1,2-ethanediol__water",349,,,,,,,,,,,,,
"2-ethyl-2-(hydroxymethyl)-1,3-propanediol__water",340,,,,,,,,,,,,,
1-hexanol__dibutyl ether,328,,,,,,,,,,,,,
n-butyl alcohol__butyl oxide,300,,,,,,,,,,,,,
"n-heptane__2,2,4-trimethylpentane",299,,,,,,,,,,,,,
cyclohexanol__water,295,,,,,,,,,,,,,
"ethanol__2,2,4-trimethylpentane",295,,,,,,,,,,,,,
cis-decalin__trans-decalin,293,,,,,,,,,,,,,
"1,3-propanediol, 2,2-diethyl-__water",288,,,,,,,,,,,,,
cyclopentanol__water,287,,,,,,,,,,,,,
neopentyl glycol__water,284,,,,,,,,,,,,,
"1,8-dihydroxyoctane__water",283,,,,,,,,,,,,,
monoglyme__water,280,,,,,,,,,,,,,
bis(2-hydroxyethyl) ether__water,280,,,,,,,,,,,,,
neopentyl alcohol__water,276,,,,,,,,,,,,,
pentamethyleneglycol__water,276,,,,,,,,,,,,,
.beta.-butylene glycol__water,276,,,,,,,,,,,,,
"1,5-pentanediol__water",269,,,,,,,,,,,,,
"2,2-diethyl-1,3-propanediol__water",263,,,,,,,,,,,,,
"2-methyl-1,3-propanediol__water",263,,,,,,,,,,,,,
1-butanol__heptane,261,,,,,,,,,,,,,
2-methyl-2-propanol__methyl tert-butyl ether,260,,,,,,,,,,,,,
1-propanol__dibutyl ether,259,,,,,,,,,,,,,
"1,6-hexanediol__water",255,,,,,,,,,,,,,
"1-heptanol__1,4-dioxane",252,,,,,,,,,,,,,
"1,3-butanediol__water",248,,,,,,,,,,,,,
"1,2-butanediol__water",248,,,,,,,,,,,,,
methanol__benzene,248,,,,,,,,,,,,,
"1,4-dimethylbenzene__decane",246,,,,,,,,,,,,,
"1,4-dimethylbenzene__octane",242,,,,,,,,,,,,,
"1,6-dihydroxyhexane__water",234,,,,,,,,,,,,,
2-butoxyethanol__water,232,,,,,,,,,,,,,
ribitol__water,227,,,,,,,,,,,,,
"1-butanol__2,2,4-trimethylpentane",224,,,,,,,,,,,,,
diglyme__water,224,,,,,,,,,,,,,
cycloheptanol__water,222,,,,,,,,,,,,,
"1,8-octanediol__water",220,,,,,,,,,,,,,
glycerin__water,218,,,,,,,,,,,,,
propylene glycol__water,216,,,,,,,,,,,,,
1-butanol__toluene,214,,,,,,,,,,,,,
"1,2-hexanediol__water",209,,,,,,,,,,,,,
decane__methyl tert-butyl ether,201,,,,,,,,,,,,,
2-propanol__dibutyl ether,200,,,,,,,,,,,,,
hexane__n-decane,200,,,,,,,,,,,,,
"3,6-dioxaoctane__water",196,,,,,,,,,,,,,
2-phenylethanol__2-propanol,195,,,,,,,,,,,,,
1-butanol__dibutyl ether,194,,,,,,,,,,,,,
nonane__methyl tert-butyl ether,193,,,,,,,,,,,,,
1-butanol__benzene,189,,,,,,,,,,,,,
methylbenzene__n-heptane,185,,,,,,,,,,,,,
"1,2-dimethoxyethane__water",181,,,,,,,,,,,,,
cyclohexylmethanol__water,176,,,,,,,,,,,,,
2-cyclohexylethanol__water,175,,,,,,,,,,,,,
1-butanol__hexane,174,,,,,,,,,,,,,
diethoxymethane__water,173,,,,,,,,,,,,,
"2,5,8-trioxanonane__water",172,,,,,,,,,,,,,
"1-propanol__2,2,4-trimethylpentane",172,,,,,,,,,,,,,
n-octane__nonane,171,,,,,,,,,,,,,
ethanol__cyclohexane,170,,,,,,,,,,,,,
ethanol__isopropyl ether,169,,,,,,,,,,,,,
2-propanol__cyclohexane,165,,,,,,,,,,,,,
pentaerythritol__water,165,,,,,,,,,,,,,
1-hexanol__1-butoxy-2-propanol,160,,,,,,,,,,,,,
1-octanol__1-butoxy-2-propanol,160,,,,,,,,,,,,,
"1,4-dioxane__water",157,,,,,,,,,,,,,
cyclooctanol__water,156,,,,,,,,,,,,,
"2,2-dimethyl-1,3-propanediol__water",156,,,,,,,,,,,,,
"toluene__2,2,4-trimethylpentane",154,,,,,,,,,,,,,
