2-methyl-2-butanol,88
ethanol,86
methoxymethane,81
methanol,75
2-methyl-1-butanol,73
cyclopentanol,72
"1,4-butanediol",68
3-pentanol,65
neopentyl alcohol,61
water,54
hexylene glycol,51
1-butanol,49
"1,2-ethanediol",47
"1,3-propanediol",47
2-pentanol,47
"1,5-pentanediol",42
"1,7-heptanediol",41
heptane,39
"1,2-butanediol",31
3-methyl-2-butanol,30
cyclohexane,21
"propanol, oxybis-",18
1-propanol,18
ribitol,17
"1,8-octanediol",14
"2,3-butanediol",12
"1,2-propanediol",12
1-octanol,12
tetrahydropyran,11
octane,11
2-methylheptane,10
"1,3-butanediol",8
1-hexanol,8
decane,8
2-methyltetrahydrofuran,8
2-ethyl-1-butanol,7
"cis-1,2-cyclohexanediol",6
2-propanol,6
benzene,6
triethylene glycol,6
bis(2-hydroxyethyl) ether,6
"1,2-hexanediol",5
toluene,3
xylene,3
"1,4-dimethylbenzene",3
"1,4-cyclohexanediol, trans-",1
5-nonanol,1
4-heptanol,1
3-nonanol,1
3-octanol,1
4-nonanol,1
"1,2-pentanediol",1
2-nonanol,1
2-octanol,1
2-heptanol,1
4-octanol,1
